object_id,name,category,train_freq,rot_sym,rot_naive,trans_cm,size_rel
1504,doll_037,doll,72,22.9778,22.9777,4.2299,0.0761
946,carrot_012,carrot,110,6.6503,35.2159,5.2038,0.0482
1462,dish_012,dish,54,13.1211,169.5098,2.7745,0.1024
2525,lemon_013,lemon,49,20.2986,132.2068,6.7479,0.0231
2667,lotus_root_011,lotus_root,80,7.5827,153.7401,0.9691,0.0196
2073,hamburger_009,hamburger,88,11.4160,163.3409,5.4595,0.0129
4499,teapot_009,teapot,119,11.1524,11.1525,17.1426,0.0174
4799,toy_boat_025,toy_boat,57,122.9997,122.9997,22.8604,0.0128
1330,corn_032,corn,84,3.1663,37.1122,10.3936,0.0094
4394,sweet_potato_004,sweet_potato,39,159.7718,174.0456,22.0988,0.0446
2614,litchi_025,litchi,25,144.8109,178.0108,9.8608,0.0401
4359,sushi_011,sushi,103,139.0505,139.0505,16.2315,0.0529
4303,stool_003,stool,110,72.8052,72.8052,4.1269,0.0496
4799,toy_boat_025,toy_boat,57,23.7774,23.7774,14.9861,0.0265
4570,timer_007,timer,76,7.4156,7.4156,2.3801,0.0252
4359,sushi_011,sushi,103,67.2767,67.2767,8.7036,0.0253
4587,tissue_002,tissue,65,162.0433,172.0736,1.8126,0.0260
1979,gloves_013,gloves,70,10.0887,10.0887,4.4616,0.0255
1540,doll_073,doll,23,87.5235,87.5235,10.7170,0.1492
933,canned_beverage_001,canned_beverage,98,9.9944,103.5128,4.1621,0.0536
3257,pear_012,pear,53,16.8887,87.3122,3.4440,0.0153
3286,pen_004,pen,55,158.9458,163.3983,6.4585,0.0513
4286,steamed_bun_041,steamed_bun,78,3.5454,122.4517,8.8164,0.0415
4036,shampoo_032,shampoo,95,2.6255,179.7133,2.4494,0.0302
1307,corn_008,corn,70,5.1210,5.1210,14.8865,0.0236
3054,ornament_002,ornament,56,132.0038,132.0038,3.1056,0.0240
1084,chicken_leg_008,chicken_leg,87,179.4019,179.4019,4.3531,0.0448
3026,orange_011,orange,73,13.6240,41.4662,1.7854,0.0139
3866,ricecooker_003,ricecooker,97,100.3085,100.3085,13.0840,0.0380
4499,teapot_009,teapot,119,12.5227,12.5227,6.8905,0.0273
3622,potato_014,potato,46,55.3654,55.3654,8.2103,0.0580
2211,handbag_039,handbag,85,94.3953,94.3953,17.3595,0.0498
3305,pie_005,pie,77,6.5439,13.6067,8.0614,0.0360
2525,lemon_013,lemon,49,6.7422,88.6001,0.9867,0.0263
3768,razor_004,razor,67,8.5775,8.5776,9.0190,0.1438
1630,dumbbell_015,dumbbell,51,66.4167,126.9317,1.1638,0.0301
2367,house_011,house,35,177.9739,177.9739,8.6557,0.0251
2949,mushroom_046,mushroom,35,3.7858,23.0102,2.6510,0.0227
1221,clock_041,clock,88,6.4389,6.4389,4.0800,0.0218
2073,hamburger_009,hamburger,88,124.3832,152.6895,13.2418,0.0239
5260,watermelon_028,watermelon,81,55.6958,55.6958,3.6863,0.0371
4534,teddy_bear_010,teddy_bear,96,51.7976,51.7976,3.9076,0.0396
4570,timer_007,timer,76,69.2306,69.2306,20.2535,0.0270
1469,doll_001,doll,94,11.6236,11.6236,1.9339,0.0175
1831,fan_005,fan,64,58.0267,58.0267,47.0286,0.0562
4038,shampoo_034,shampoo,62,5.0880,5.0880,2.3809,0.0084
3355,pillow_027,pillow,97,21.6530,160.8929,27.4823,0.0284
1527,doll_060,doll,75,10.3008,10.3008,2.5656,0.0258
3650,potato_043,potato,75,88.6086,88.6086,16.8989,0.0515
1330,corn_032,corn,84,2.7986,52.4376,0.6945,0.0307
